id,name,name_type,name_en,status,marki,sity,adress,X,Y,telefon,site,time,time2,Способы оплаты
S1120,Автомастерская на ул. Степана Разина. 7 ст1,Автомастерская на ул. Степана Разина. 7 ст1,Shop_on_the_street_Stepan_Razin_7_CT1,Независимый,Все марки,Балашиха,Степана Разина. 7 ст1,37.9312168,55.79101866,8-967-030-19-56,,0:00 - 24:00,0:00 - 24:00,Наличный расчет
S1121,Автомастерская на Уржумской. 1/3 ст2,Автомастерская на Уржумской. 1/3 ст2,Shop_on_Urzhum_1/3_a2,Независимый,Все марки,Москва,Уржумская. 1/3 ст2,37.66193363,55.85193798,,,9:00-22:00,9:00-22:00,Наличный расчет
S1122,Автомастер. ,Автомастер. автосервис,Automaster,Независимый,Все марки,Москва,Стартовая. 18,37.68530241,55.88635909,(495) 792-65-23,avtomaster77.ru,,,Наличный расчет
S1123,Автомастер. ,Автомастер. автотехцентр,Automaster,Независимый,Все марки,Долгопрудный,Лихачёвский проспект. 28 - 1 этаж,37.49487419,55.91830106,(495) 408-83-94. (498) 705-53-06,www.a-mast.ru,9:30-21:00,9:30-21:00,Наличный расчет
S1124,Автомастер. ,Автомастер. СТО,Automaster,Независимый,Все марки,Москва,Выборгская. 16 к2,37.49583082,55.83354183,8-916-563-30-45,www.automaster100.ru,9:30-20:00,выходной,Наличный расчет
S1125,Автомастер-14. ,Автомастер-14. автотехцентр,Automaster-14,Независимый,Audi. Volkswagen. Skoda. Renault. Ford,Москва,Маршала Федоренко. 15 ст2,37.4847737,55.88310179,(495) 777-48-10. (495) 967-65-82,www.avt14.ru,,,Наличный расчет. Оплата через банк. через банк
S1126,Автомеханика-джип. ,Автомеханика-джип. автотехцентр,The_mechanic-jeep,Независимый,Все марки,Москва,Алтуфьевское шоссе. 4а - 1 этаж,37.5887398,55.85090192,,avtomehanika-dzhip77.moskva-gid.info/,9:30-20:00,выходной,Наличный расчет
S1127,Автомеханик.,Автомеханик. автосервис. г. Юбилейный,Auto_Mechanic,Независимый,Все марки,Юбилейный,Тихонравова. вл1,37.82903463,55.93568022,8-925-334-44-95,,9:00-20:00,9:00-20:00,Наличный расчет
S1128,Автомир 2000.,Автомир 2000. СТО,Autoworld_2000,Независимый,Все марки,Москва,Башиловская. 31 - вход со двора,37.57214809,55.80616462,8-926-556-48-88. (495) 611-04-59,,10:00-19:00,10:00-19:00,Наличный расчет
S1129,Автомир. ,Автомир. автосервис,Autoworld,Независимый,Все марки,Москва,Варшавское шоссе. 127 - въезд с ул. Днепропетровский проезд,37.61628854,55.62107681,(495) 995-77-17. (495) 995-77-27,,8:00-21:00,8:00-21:00,Наличный расчет. Оплата через банк. Visa. MasterCard. Золотая Корона. Maestro Card.
S1130,АвтоМытищи. ООО,АвтоМытищи. ООО,AvtoMytischi_Ltd,Независимый,Все марки,Мытищи (Мытищинский район),Силикатная. 32,37.78231698,55.93613903,8-926-528-73-86,автомытищи.рф,,,Наличный расчет
S1131,АВТОНАВТИКА. ,АВТОНАВТИКА. автосервис,AVTONAVTIKA,Независимый,Mitsubishi. Nissan. Subaru. КIA. Hyundai. Ford. Chery. Geely.  GREAT WALL. BAW,Москва,Огородный проезд. 8 - 1 этаж,37.60455277,55.81308342,(495) 776-09-02,autonautica.ru,9:00-21:00,9:00-21:00,Наличный расчет
S1132,АВТОНОМ. ,АВТОНОМ. автосервис,Auton,Независимый,Все марки,Реутов,Мира проспект. вл77,37.85864194,55.77715824,(495) 528-66-73,,9:00-18:00,выходной,Наличный расчет. Оплата через банк. через банк
S1133,АВТОПАРИТЕТ. ,АВТОПАРИТЕТ. автотехцентр,AVTOPARITET,Независимый,Все марки,Москва,Высоковольтный проезд. 1 ст48,37.59489649,55.87528853,8-926-227-82-36,www.autoparity.ru,,,Наличный расчет. Оплата через банк. через банк
S1134,Автопарк. ,Автопарк. автосервис,Car_park,Независимый,Все марки,Москва,Верейская. 29 ст2,37.42688913,55.71267961,(495) 725-06-04,,11:00-20:00,выходной,Наличный расчет. Оплата через банк. через банк
S1135,АВТОПЕГАС-21. ,АВТОПЕГАС-21. автосервис,AVTOPEGAS-21,Независимый,Все марки,Москва,Большая Семёновская. 10 ст15,37.70149505,55.78226765,(495) 727-38-89,avtopegas21.ru,,,Наличный расчет
