id,name,status,marki,sity,adress,X,Y,telefon,site,time1,time2,pay
S2161,Эверест. автосервис,Независимый,Все марки,Москва,Бакунинская. 94 ст1,37.69347172,55.77979925,(499) 261-58-65,,,,Наличный расчет. Visa. MasterCard. Maestro Card
S2162,ЭВЕРЕСТ. ООО. СТО,Независимый,Все марки,Москва,Хлобыстова. 14 к1,37.80621945,55.71853609,8-926-344-76-46,twin-motors.ru,9:30-20:00,9:30-20:00,Наличный расчет. Оплата через банк. через банк
S2163,ЭВИС-Моторс. автомастерская,Независимый,Все марки,Москва,Дубининская. 76 - 1 этаж,37.63469028,55.72009034,(495) 646-83-84,www.evis-motors.ru,9:00-20:00,выходной,Наличный расчет. Оплата через банк. через банк
S2164,ЭВМ-9. автотехцентр,Независимый,Все марки,Москва,Академика Королёва. 21 ст1,37.60162316,55.82100159,(495) 618-50-17,www.evm9.ru,9:00-19:00,9:00-19:00,Наличный расчет
S2165,Эксис-Юг. технический центр,Независимый,Все марки,Москва,Каширское шоссе. 61 к3а,37.71634017,55.61639797,(495) 221-49-37. (495) 221-42-20,,,,Наличный расчет. Visa. MasterCard. Maestro Card
S2166,Эксперт-Кузов. техцентр,Независимый,Все марки,Москва,Южнопортовая. вл15,37.70119185,55.70717076,(495) 984-08-46 (единая справочная). (495) 984-06-70,www.expert-kuzov.ru,,,Наличный расчет. Оплата через банк. Visa. MasterCard. через банк. Visa. MasterCard
S2167,Экспресс. автосервис,Независимый,Все марки,Москва,Саринский проезд. 6,37.65546176,55.72991922,(495) 676-20-44,,,,Наличный расчет. Оплата через банк. через банк
S2168,Экспресс. автоцентр,Независимый,Все марки,Москва,Енисейская. 36 ст1,37.66871761,55.87654085,(495) 766-32-15,,,,Наличный расчет
S2169,Экспресс-Авто. автосервис,Независимый,Все марки,Москва,Красных Зорь. ст10,37.42744345,55.72656389,(499) 726-51-64,,,,Наличный расчет
S2170,Экспресс-Авто. ООО. автосервис. г. Домодедово,Независимый,Все марки,Домодедово,Вокзальная 1-я (Барыбино). 1,37.8966168,55.26585588,8-915-460-85-25,,,,Наличный расчет
S2171,Экспресс-Сервис. автотехцентр,Независимый,Все марки,Балашиха,Советская. 30,37.95180625,55.81041256,,,,,Наличный расчет. Оплата через банк. через банк
S2172,Экстра Кар. автотехцентр,Независимый,Все марки,Москва,Маршала Захарова. 2 - 1 этаж,37.70719468,55.6239722,(495) 989-48-46,www.extracar.ru,,,Наличный расчет
S2173,Эла. технический центр,Независимый,Все марки,Москва,Котляковская. 3 ст6,37.62924364,55.64222245,(495) 745-68-77,,,,Наличный расчет. Оплата через банк. через банк
S2174,Элекс-Сервис. техцентр,Независимый,Все марки,Москва,Вернадского проспект. 8Б,37.52224546,55.69236519,(495) 930-00-88. (495) 930-10-00,www.elex-service.ru,,,Наличный расчет. Оплата через банк. через банк
S2175,ЭЛЕКТРОН-АВТО. автосервис,Независимый,Все марки,Москва,Шолохова. 1а,37.35875736,55.63453716,8-916-136-70-50. (499) 737-97-06,,,,Наличный расчет
